id	name	fips	sector
737	Atlanta Metropolitan State College	13	1
738	Atlanta's John Marshall Law School	13	3
739	Clark Atlanta University	13	2
740	Augusta Technical College	13	4
741	Bainbridge State College	13	1
742	Bauder College	13	3
743	Berry College	13	2
744	Beulah Heights University	13	2
745	Brenau University	13	2
746	Brewton-Parker College	13	2
747	Brown College of Court Reporting	13	6
748	College of Coastal Georgia	13	1
749	West Georgia Technical College	13	4
750	Carver Bible College	13	2
751	Clayton  State University	13	1
752	Columbia Theological Seminary	13	2
753	Columbus Technical College	13	4
754	Columbus State University	13	1
755	Georgia Northwestern Technical College	13	4
756	Covenant College	13	2
757	Dalton State College	13	1
758	South University-Savannah	13	3
759	East Georgia State College	13	1
760	Emmanuel College	13	2
761	Emory University	13	2
762	Georgia Highlands College	13	1
763	Fort Valley State University	13	1
764	Grady Health System Professional Schools	13	4
765	Georgia Institute of Technology-Main Campus	13	1
766	Georgia Southwestern State University	13	1
767	Georgia College and State University	13	1
768	Georgia Southern University	13	1
769	Georgia State University	13	1
770	University of Georgia	13	1
771	Gordon State College	13	1
772	Southern Crescent Technical College	13	4
773	Gupton Jones College of Funeral Service	13	5
774	Gwinnett College-Lilburn	13	6
775	Gwinnett Technical College	13	4
776	Interdenominational Theological Center	13	2
777	Kennesaw State University	13	1
778	LaGrange College	13	2
779	Lanier Technical College	13	4
780	Life University	13	2
781	Chattahoochee Technical College	13	4
782	Herzing University-Atlanta	13	3
783	Mercer University	13	2
784	Morehouse College	13	2
785	Morehouse School of Medicine	13	2
786	Moultrie Technical College	13	4
787	North Georgia Technical College	13	4
788	Oglethorpe University	13	2
789	Paine College	13	2
790	Piedmont College	13	2
791	Portfolio Center	13	6
792	Reinhardt University	13	2
793	Savannah Technical College	13	4
794	Savannah College of Art and Design	13	2
795	Savannah State University	13	1
796	Shorter University	13	2
797	South Georgia Technical College	13	4
798	The Creative Circus	13	6
799	Spelman College	13	2
800	Southern Polytechnic State University	13	1
801	Southwest Georgia Technical College	13	4
802	Thomas University	13	2
803	Toccoa Falls College	13	2
804	Truett-McConnell College	13	2
805	Wiregrass Georgia Technical College	13	4
806	Valdosta State University	13	1
807	Wesleyan College	13	2
808	University of West Georgia	13	1
809	Young Harris College	13	2
810	Heald College-Honolulu	15	6
811	Chaminade University of Honolulu	15	2
812	University of Hawaii at Hilo	15	1
813	University of Hawaii at Manoa	15	1
814	Hawaii Pacific University	15	2
815	Honolulu Community College	15	4
816	Kapiolani Community College	15	4
817	Kauai Community College	15	4
818	Leeward Community College	15	4
819	University of Hawaii Maui College	15	1
820	World Medicine Institute	15	2
